diagnosis	alternatives
atrioventricular block	sick sinus syndrome, myocardial infarction, cardiomyopathy, lyme disease, hyperkalemia, medication toxicity.
portal vein thrombosis	cirrhosis, liver cancer, pancreatitis, inflammatory bowel disease.
diastolic heart failure	hypertensive heart disease, valvular heart disease, restrictive cardiomyopathy, constrictive pericarditis.
celiac artery compression syndrome	median arcuate ligament syndrome, pancreatic cancer, gastroduodenal artery aneurysm, peptic ulcer disease, aortic dissection.
esophageal cancer	barrett's esophagus, gastroesophageal reflux disease (gerd), hiatal hernia, esophageal stricture, achalasia.
myocardial infarction	some alternative diagnoses of myocardial infarction include pulmonary embolism, aortic dissection, gastritis, and musculoskeletal chest pain.
brain cancer	migraine, concussion, meningitis, stroke, brain abscess, encephalitis, multiple sclerosis
aortic aneurysm	atherosclerosis, aortic dissection, aortic thromboembolism, inflammatory aortic aneurysm, familial thoracic aortic aneurysm syndrome, mycotic aneurysm, traumatic rupture of the aorta.
myeloblastic leukemia	myelodysplastic syndrome, myeloproliferative neoplasms, acute lymphoblastic leukemia.
malignant neoplasm of stomach	gastritis, peptic ulcer disease, gastroesophageal reflux disease (gerd), gastric polyps, benign gastric tumors, gastrointestinal stromal tumor (gist), lymphoma of the stomach.
malignant neoplasm of esophagus	gastroesophageal reflux disease (gerd), barrett's esophagus, achalasia, esophageal spasm, peptic ulcer disease (pud), esophageal varices, hiatal hernia, eosinophilic esophagitis, infectious esophagitis.
sepsis	pneumonia, influenza, meningitis, cellulitis, urinary tract infection, gastroenteritis, endocarditis, osteomyelitis, appendicitis
multiple sclerosis	neuromyelitis optica, acute disseminated encephalomyelitis, lupus, lyme disease, sjogren's syndrome, optico-spinal ms, progressive multifocal leukoencephalopathy, vasculitis.
chronic rheumatic heart disease	mitral valve stenosis, mitral valve regurgitation, aortic valve stenosis, aortic valve regurgitation, tricuspid valve regurgitation, pulmonary valve stenosis.
malignant neoplasm of temporal lobe	encephalitis, stroke, glioma, brain abscess, multiple sclerosis.
ischemic heart disease	angina pectoris, myocardial infarction, congestive heart failure, arrhythmias, cardiomyopathy
malignant neoplasm of retroperitoneum	lipoma, sarcoma, lymphoma, neurofibroma, leiomyosarcoma, liposarcoma, metastasis from another site
